#########################################
# Deutsche Bundesliga 2014/15 Rückrunde


18. Spieltag

[Sa 31.1.]
  VfL Wolfsburg  -  Bayern München 
  Bayer Leverkusen  -  Borussia Dortmund 
  VfB Stuttgart  -  Bor. Mönchengladbach 
  FC Augsburg  -  1899 Hoffenheim 
  FC Schalke 04  -  Hannover 96 
  Werder Bremen  -  Hertha BSC 
  SC Freiburg   -  Eintracht Frankfurt 
  Hamburger SV   -  1. FC Köln 
  1. FSV Mainz 05  - SC Paderborn 07 

Spieltag 19

03.02.  (Di) Bayern München FC Schalke 04 
03.02.  (Di) Hertha BSC Bayer Leverkusen 
03.02.  (Di) Eintracht Frankfurt VfL Wolfsburg 
03.02.  (Di) Hannover 96 1. FSV Mainz 05 
03.02.  (Di) Borussia Dortmund FC Augsburg 
03.02.  (Di) 1899 Hoffenheim Werder Bremen 
03.02.  (Di) Bor. Mönchengladbach SC Freiburg 
03.02.  (Di) 1. FC Köln VfB Stuttgart 
03.02.  (Di) SC Paderborn 07 Hamburger SV 

Spieltag 20

07.02.  (Sa) VfB Stuttgart Bayern München 
07.02.  (Sa) SC Freiburg Borussia Dortmund 
07.02.  (Sa) Werder Bremen Bayer Leverkusen 
07.02.  (Sa) FC Schalke 04 Bor. Mönchengladbach 
07.02.  (Sa) VfL Wolfsburg 1899 Hoffenheim 
07.02.  (Sa) Hamburger SV Hannover 96 
07.02.  (Sa) 1. FSV Mainz 05 Hertha BSC 
07.02.  (Sa) FC Augsburg Eintracht Frankfurt 
07.02.  (Sa) 1. FC Köln SC Paderborn 07 

Spieltag 21

14.02.  (Sa) Eintracht Frankfurt FC Schalke 04 
14.02.  (Sa) Bayer Leverkusen VfL Wolfsburg 
14.02.  (Sa) Borussia Dortmund 1. FSV Mainz 05 
14.02.  (Sa) Werder Bremen FC Augsburg 
14.02.  (Sa) Hertha BSC SC Freiburg 
14.02.  (Sa) 1899 Hoffenheim VfB Stuttgart 
14.02.  (Sa) Bayern München Hamburger SV 
14.02.  (Sa) Bor. Mönchengladbach 1. FC Köln 
14.02.  (Sa) Hannover 96 SC Paderborn 07 

Spieltag 22

21.02.  (Sa) SC Paderborn 07 Bayern München 
21.02.  (Sa) VfB Stuttgart Borussia Dortmund 
21.02.  (Sa) FC Augsburg Bayer Leverkusen 
21.02.  (Sa) Hamburger SV Bor. Mönchengladbach 
21.02.  (Sa) SC Freiburg 1899 Hoffenheim 
21.02.  (Sa) 1. FC Köln Hannover 96 
21.02.  (Sa) VfL Wolfsburg Hertha BSC 
21.02.  (Sa) FC Schalke 04 Werder Bremen 
21.02.  (Sa) 1. FSV Mainz 05 Eintracht Frankfurt 

Spieltag 23

28.02.  (Sa) Borussia Dortmund FC Schalke 04 
28.02.  (Sa) Werder Bremen VfL Wolfsburg 
