#############################
# Deutsche 3. Liga
#
#  20 Teams


## todo:  split off to states (files using teams_by, teams_nw, etc.)
##  - no need to use teams_x

bielefeld, Bielefeld|Arminia Bielefeld|DSC Arminia Bielefeld, DSC,  1905,  www.arminia-bielefeld.de, Melanchthonstraße 31a // 33615 Bielefeld
cottbus,      Energie Cottbus|Cottbus|FC Energie Cottbus, FCE,  1966, www.fcenergie.de,  Am Eliaspark 1 // 03042 Cottbus,  city:cottbus
dresden,      Dynamo Dresden|Dresden|SG Dynamo Dresden,        SGD, 1953, www.dynamo-dresden.de,  Lennéstraße 12 // 01069 Dresden,  city:dresden


duisburg,     MSV Duisburg|Duisburg,       MSV, city:duisburg      
regensburg,   Jahn Regensburg|Regensburg|SSV Jahn Regensburg,     REG, city:regensburg 

osnabrueck, Osnabrück|VfL Osnabrück
muenster, Münster|Preußen Münster
chemnitz, Chemnitz|Chemnitzer FC
burghausen, Burghausen|Wacker Burghausen
wiesbaden, Wiesbaden|SV Wehen Wiesbaden
uhaching, U'haching|SpVgg Unterhaching
halle, Halle|Hallescher FC
saarbruecken, Saarbrücken|1. FC Saarbrücken
rostock, Rostock|Hansa Rostock
rwerfurt, RW Erfurt|Rot-Weiß Erfurt
stuttgartii, Stuttgart II|VfB Stuttgart II
dortmundii, Dortmund II|Bor. Dortmund II
stuttkick, Stutt. Kick.|Stuttgarter Kickers

kiel,       Holstein Kiel
elversberg, SV Elversberg

